iter	Accuracy	Logloss
775	0.8897288414	0.2750992625
776	0.88989318	0.2750153513
777	0.8895645029	0.2749807947
778	0.8894001643	0.2748645164
779	0.8895645029	0.2747708344
780	0.8894001643	0.2746098617
781	0.8894001643	0.2745897833
782	0.8894001643	0.2745434124
783	0.8892358258	0.2744848464
784	0.8892358258	0.274356886
785	0.8894001643	0.2742092314
786	0.8897288414	0.2740753555
787	0.8895645029	0.2739983447
788	0.8897288414	0.2738053173
789	0.8897288414	0.2737562745
790	0.88989318	0.2736876044
791	0.8900575185	0.2735785276
792	0.88989318	0.2734478356
793	0.8897288414	0.2733231944
794	0.8900575185	0.2732516321
795	0.8900575185	0.2731200812
796	0.8900575185	0.2731049438
797	0.8900575185	0.2729717008
798	0.890221857	0.2729183009
799	0.890221857	0.2728741684
800	0.8905505341	0.2727686729
801	0.8905505341	0.2726340287
802	0.8905505341	0.2725424927
803	0.8903861956	0.2723899755
804	0.8903861956	0.2722801683
805	0.8905505341	0.2720304786
806	0.8905505341	0.2720103455
807	0.8903861956	0.2719528822
808	0.8905505341	0.2719371684
809	0.8905505341	0.2718761523
810	0.8910435497	0.2717835133
811	0.8917009039	0.2716251486
812	0.8915365653	0.2715034304
813	0.8915365653	0.2714006425
814	0.8913722268	0.2713088006
815	0.8912078882	0.271138255
816	0.8913722268	0.2710502243
817	0.8913722268	0.2710239424
818	0.8920295809	0.2708570122
819	0.8920295809	0.2707780503
820	0.8920295809	0.2707343699
821	0.8921939195	0.2706668893
822	0.892358258	0.270618109
823	0.892358258	0.2705025525
824	0.8925225965	0.2703196122
825	0.8928512736	0.2702122626
826	0.8928512736	0.2701450254
827	0.8926869351	0.2700540303
828	0.8928512736	0.2699357042
829	0.8926869351	0.2698159183
830	0.8925225965	0.2697244042
831	0.8925225965	0.2696434441
832	0.8926869351	0.2694914929
833	0.8926869351	0.269411223
834	0.8928512736	0.2693248467
835	0.8928512736	0.2692343827
836	0.8928512736	0.2691291414
837	0.8930156122	0.2690559144
838	0.8931799507	0.2689578855
839	0.8930156122	0.2688213894
840	0.8933442892	0.2687851965
841	0.8938373048	0.2686551537
842	0.8941659819	0.2685353266
843	0.8941659819	0.2684251944
844	0.8943303205	0.2683415083
845	0.8941659819	0.2682125286
846	0.8941659819	0.2681565355
847	0.8940016434	0.2679912007
848	0.8940016434	0.2679587916
849	0.8946589975	0.2677671057
850	0.8946589975	0.2676395449
851	0.8946589975	0.2674886303
852	0.8946589975	0.2674370487
853	0.8948233361	0.2673286035
854	0.894494659	0.2672409903
855	0.8946589975	0.2670782349
856	0.8946589975	0.2669640658
857	0.8946589975	0.2668531797
858	0.8948233361	0.2667647738
859	0.8946589975	0.2666745837
860	0.894494659	0.2665314637
861	0.8949876746	0.2664100006
862	0.8948233361	0.2663038452
863	0.8948233361	0.2662062393
864	0.8953163517	0.2661119242
865	0.8951520131	0.26602954
866	0.8951520131	0.2658190016
867	0.8951520131	0.2657288236
868	0.8953163517	0.2656465366
869	0.8951520131	0.2655654604
870	0.8954806902	0.2654005126
871	0.8954806902	0.2652778503
872	0.8954806902	0.265202402
873	0.8959737058	0.2649876192
874	0.8959737058	0.2648623553
875	0.8963023829	0.2646606814
876	0.8964667214	0.2645977979
877	0.8964667214	0.2644516111
878	0.89663106	0.2642880924
879	0.89663106	0.264228412
